lesson,grammar_point,youtube_link,time_format,timestamp,end,korean_text,english_text,,
Beg L1,G1.1 Equational expression: N1은/는 N2이에요/예요,,,,,,,,
Beg L1,G1.2 Omission of redundant elements,,,,,,,,
Beg L1,G1.3 Comparing items: 은/는 vs. 도,,,,,,,,
Beg L1,G1.4 Yes/No questions,,,,,,,,
Beg L1,G1.5 Negative equational expression:N1은/는 N2이/가 아니에요,,,,,,,,
Beg L2,G2.1 The subject particle 이/가,,,,,,,,
Beg L2,G2.2 The polite ending ~어요/아요 I,,,,,,,,
Beg L2,G2.3 The polite ending ~어요/아요 II,,,,,,,,
Beg L2,G2.4 The object particle 을/를,,,,,,,,
Beg L3,G3.1 Expression location: [Place]에 있어요,,,,,,,,
Beg L3,G3.2 Changing the topic: particle 은/는,,,,,,,,
Beg L3,G3.3 Expressing possession: N이/가 있어요/없어요,,,,,,,,
Beg L3,G3.4 The honorific ending ~(으)세요,,,,,,,,
Beg L4,G4.1 Alternative questions,,,,,,,,
Beg L4,G4.2 Numbers,,,,,,,,
Beg L4,G4.3 Noun counters,,,,,,,,
Beg L4,G4.4 Expressing possessive relations: N1 (possessor) N2 (possessed),,,,,,,,
Beg L4,G4.5 Vowel contraction,,,,,,,,
Beg L5,G5.1 The locative particles 에 and 에서,,,,,,,,
Beg L5,G5.2 The basic sentence pattern,,,,,,,,
Beg L5,G5.3 ~으러 [place]에 가요,,,,,,,,
Beg L5,G5.4 Irregular verbs in /ㄷ/,,,,,,,,
Beg L6,G6.1 N(으)로  'by means of N',,,,,,,,
Beg L6,G6.2 Irregular predicates in /ㅂ/,,,,,,,,
Beg L6,G6.3 Past events: ~었/았/ㅆ어요,,,,,,,,
Beg L6,G6.4 The negative adverb 안 vs 못,,,,,,,,
Beg L7,G7.1 Probability: ~(으)ㄹ 거예요,,,,,,,,
Beg L7,G7.2 무슨 'what (kind of) N' vs. 어느 'which N',,,,,,,,
Beg L7,G7.3 The clausal connective ~고,,,,,,,,
Beg L7,G7.4 Negative questions,,,,,,,,
